record_id,split,legacy_temperature_k,assistant_event_assessment,evidence_available,source_role,source_url,doi,candidate_family,family_validated,structure_match_status,sample_conditions_verified,independent_review_complete,training_eligible,issues,assistant_note,api_status,api_semantic_flags,api_events_json
0.782_NdScO3,test,953.0,unknown,True,primary_abstract_search_excerpt,https://www.sciencedirect.com/science/article/pii/S0921452696010678,10.1016/S0921-4526(96)01067-8,,False,unverified,False,False,False,unit_conflict_1000_fold;event_type_unknown,0.953 K conflicts with 953 K. Symbol Tc does not establish a Curie event.,schema_and_quote_valid,,"[{""material_formula"": ""NdScO3"", ""type"": ""unknown"", ""temperature_k"": 0.953, ""uncertainty_k"": null, ""qualifier"": ""reported_value"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""below its phase transition (Tc = 0.953 K)""}]"
0.639_Mn2Au,train,1000.0,neel,True,cited_background,https://www.nature.com/articles/s41467-023-41569-z,10.1038/s41467-023-41569-z,,False,unverified,False,False,False,lower_bound_lost;neel_not_curie,"1000 is a lower bound in this background statement, not an exact Curie value. Original measurement/extrapolation must be traced.",schema_and_quote_valid,,"[{""material_formula"": ""Mn2Au"", ""type"": ""neel"", ""temperature_k"": 1000, ""uncertainty_k"": null, ""qualifier"": ""lower_bound"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""Mn2Au is a metallic collinear antiferromagnet with a high Néel temperature above 1000 K.""}]"
0.108_Mn3Ir,train,960.0,neel,True,cited_background,https://www.nature.com/articles/ncomms3892,10.1038/ncomms3892,Cu3Au_type_candidate,False,unverified,False,False,False,neel_not_curie;original_measurement_pending,"Cited comparison compound, not the material measured in this paper; trace reference 14.",schema_and_quote_valid,,"[{""material_formula"": ""Mn3Ir"", ""type"": ""neel"", ""temperature_k"": 960, ""uncertainty_k"": null, ""qualifier"": ""reported_value"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""Mn3Ir (TN=960 K)""}]"
0.186_CeMnAsO,train,347.0,neel,True,primary_author_institution_abstract,https://impact.ornl.gov/en/publications/spin-reorientation-and-ce-mn-coupling-in-antiferromagnetic-oxypni/,10.1103/PhysRevB.91.064418,1111_oxypnictide_candidate,False,unverified,False,False,False,neel_not_curie;multiple_events_same_cif,Previously sourced diagnostic; requires independent review and structure matching.,schema_and_quote_valid,,"[{""material_formula"": ""CeMnAsO"", ""type"": ""neel"", ""temperature_k"": 347, ""uncertainty_k"": 1, ""qualifier"": ""reported_value"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""Néel temperature of TN=347(1) K.""}, {""material_formula"": ""CeMnAsO"", ""type"": ""spin_reorientation"", ""temperature_k"": 35, ""uncertainty_k"": null, ""qualifier"": ""unknown"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""Below TSR=35 K""}, {""material_formula"": ""CeMnAsO"", ""type"": ""other"", ""temperature_k"": 7, ""uncertainty_k"": null, ""qualifier"": ""upper_bound"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""Another transition to a noncollinear magnetic structure occurs below 7 K.""}]"
0.187_CeMnAsO,train,35.0,spin_reorientation_and_neel,True,primary_author_institution_abstract,https://impact.ornl.gov/en/publications/spin-reorientation-and-ce-mn-coupling-in-antiferromagnetic-oxypni/,10.1103/PhysRevB.91.064418,1111_oxypnictide_candidate,False,unverified,False,False,False,spin_reorientation_and_sublattice_order;multiple_events_same_cif,Previously sourced diagnostic; requires independent review and structure matching.,schema_and_quote_valid,,"[{""material_formula"": ""CeMnAsO"", ""type"": ""neel"", ""temperature_k"": 347, ""uncertainty_k"": 1, ""qualifier"": ""reported_value"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""Néel temperature of TN=347(1) K.""}, {""material_formula"": ""CeMnAsO"", ""type"": ""spin_reorientation"", ""temperature_k"": 35, ""uncertainty_k"": null, ""qualifier"": ""unknown"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""Below TSR=35 K""}, {""material_formula"": ""CeMnAsO"", ""type"": ""other"", ""temperature_k"": 7, ""uncertainty_k"": null, ""qualifier"": ""upper_bound"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""Another transition to a noncollinear magnetic structure occurs below 7 K.""}]"
0.188_CeMnAsO,train,7.0,other,True,primary_author_institution_abstract,https://impact.ornl.gov/en/publications/spin-reorientation-and-ce-mn-coupling-in-antiferromagnetic-oxypni/,10.1103/PhysRevB.91.064418,1111_oxypnictide_candidate,False,unverified,False,False,False,below_not_exact;multiple_events_same_cif,Previously sourced diagnostic; requires independent review and structure matching.,schema_and_quote_valid,,"[{""material_formula"": ""CeMnAsO"", ""type"": ""neel"", ""temperature_k"": 347, ""uncertainty_k"": 1, ""qualifier"": ""reported_value"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""Néel temperature of TN=347(1) K.""}, {""material_formula"": ""CeMnAsO"", ""type"": ""spin_reorientation"", ""temperature_k"": 35, ""uncertainty_k"": null, ""qualifier"": ""unknown"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""Below TSR=35 K""}, {""material_formula"": ""CeMnAsO"", ""type"": ""other"", ""temperature_k"": 7, ""uncertainty_k"": null, ""qualifier"": ""upper_bound"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""Another transition to a noncollinear magnetic structure occurs below 7 K.""}]"
0.426_EuMnBi2,train,315.0,neel,True,accepted_manuscript_search_excerpt,https://link.aps.org/accepted/10.1103/PhysRevLett.122.127207,10.1103/PhysRevLett.122.127207,AMnBi2_candidate,False,unverified,False,False,False,neel_not_curie;multiple_events_same_cif,Previously sourced diagnostic; requires independent review and structure matching.,schema_and_quote_valid,,"[{""material_formula"": ""EuMnBi2"", ""type"": ""neel"", ""temperature_k"": 315, ""uncertainty_k"": null, ""qualifier"": ""reported_value"", ""sublattice"": ""Mn ions"", ""sample_conditions"": null, ""quote"": ""the antiferromagnetic transition temperature of Mn ions in EuMnBi2 is determined to be 315 K""}]"
2.51_EuMnBi2,train,19.0,neel,True,primary_paper_excerpt,https://arxiv.org/abs/1407.6203,10.1103/PhysRevB.90.075109,AMnBi2_candidate,False,unverified,False,False,False,cross_source_value_discrepancy;multiple_events_same_cif,"Source reports near 22 K, not local 19 K. Cross-sample discrepancy, not an automatic correction.",schema_and_quote_valid,approximation_not_preserved,"[{""material_formula"": ""EuMnBi2"", ""type"": ""neel"", ""temperature_k"": 22, ""uncertainty_k"": null, ""qualifier"": ""reported_value"", ""sublattice"": ""Eu"", ""sample_conditions"": null, ""quote"": ""Magnetic susceptibility measurements suggest antiferromagnetic (AFM) ordering of moments on divalent Eu ions near T_N=22K.""}]"
0.65_Fe2O3-alpha,test,955.0,neel,True,cited_background,https://www.sciencedirect.com/science/article/abs/pii/S0304885321007666,,corundum_candidate,False,unverified,False,False,False,canted_afm_not_conventional_fm,Hematite has canted AFM order and a weak net moment; do not equate weak ferromagnetism with the target FM/FiM class.,schema_and_quote_valid,,"[{""material_formula"": ""Fe2O3-alpha"", ""type"": ""neel"", ""temperature_k"": 955, ""uncertainty_k"": null, ""qualifier"": ""reported_value"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""It is perhaps the best-known antiferromagnet, with a Néel temperature TN of 955 K""}]"
0.274_Mn4N,train,745.0,curie_candidate,True,cited_background_not_original_measurement,https://tsukuba.repo.nii.ac.jp/record/47579/file_preview/JCG_489.pdf,,antiperovskite_nitride_candidate,False,unverified,False,False,False,original_measurement_pending,Previously sourced diagnostic; requires independent review and structure matching.,schema_and_quote_valid,,"[{""material_formula"": ""Mn4N"", ""type"": ""curie"", ""temperature_k"": 745, ""uncertainty_k"": null, ""qualifier"": ""reported_value"", ""sublattice"": null, ""sample_conditions"": null, ""quote"": ""with a high Curie temperature of 745 K [3].""}]"
