dataset,split,material_id,cif
mp_20,train,mp-21476,"# generated using pymatgen
data_Fe2N
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.34744500
_cell_length_b   4.74632500
_cell_length_c   5.46840000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe2N
_chemical_formula_sum   'Fe8 N4'
_cell_volume   112.83708127
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.25081800  0.08465700  0.87343400  1
  Fe  Fe1  1  0.75081800  0.91534300  0.62656600  1
  Fe  Fe2  1  0.24918200  0.58465700  0.62656600  1
  Fe  Fe3  1  0.74918200  0.41534300  0.87343400  1
  Fe  Fe4  1  0.25081800  0.58465700  0.12656600  1
  Fe  Fe5  1  0.75081800  0.41534300  0.37343400  1
  Fe  Fe6  1  0.24918200  0.08465700  0.37343400  1
  Fe  Fe7  1  0.74918200  0.91534300  0.12656600  1
  N  N8  1  0.50000000  0.75000000  0.86506600  1
  N  N9  1  0.00000000  0.25000000  0.63493400  1
  N  N10  1  0.50000000  0.25000000  0.13493400  1
  N  N11  1  0.00000000  0.75000000  0.36506600  1
"
mp_20,train,mp-1009130,"# generated using pymatgen
data_MnN
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.01245449
_cell_length_b   3.01245449
_cell_length_c   3.01245449
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   MnN
_chemical_formula_sum   'Mn1 N1'
_cell_volume   19.33065132
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.00000000  0.00000000  0.00000000  1
  N  N1  1  0.25000000  0.25000000  0.25000000  1
"
mp_20,train,mp-505622,"# generated using pymatgen
data_Mn4N
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.75536200
_cell_length_b   3.75536200
_cell_length_c   3.75536200
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn4N
_chemical_formula_sum   'Mn4 N1'
_cell_volume   52.96090798
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.00000000  0.00000000  0.00000000  1
  Mn  Mn1  1  0.50000000  0.50000000  0.00000000  1
  Mn  Mn2  1  0.50000000  0.00000000  0.50000000  1
  Mn  Mn3  1  0.00000000  0.50000000  0.50000000  1
  N  N4  1  0.50000000  0.50000000  0.50000000  1
"
mp_20,train,mp-6988,"# generated using pymatgen
data_FeN
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.99154817
_cell_length_b   2.99154817
_cell_length_c   2.99154817
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   FeN
_chemical_formula_sum   'Fe1 N1'
_cell_volume   18.93097599
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.00000000  0.00000000  0.00000000  1
  N  N1  1  0.25000000  0.25000000  0.25000000  1
"
mp_20,train,mp-248,"# generated using pymatgen
data_Fe2N
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.75226010
_cell_length_b   4.75226010
_cell_length_c   4.32056700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000138
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe2N
_chemical_formula_sum   'Fe6 N3'
_cell_volume   84.50293133
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.00000000  0.66974400  0.74799700  1
  Fe  Fe1  1  0.66974400  0.00000000  0.74799700  1
  Fe  Fe2  1  0.33025600  0.33025600  0.74799700  1
  Fe  Fe3  1  0.66974400  0.66974400  0.25200300  1
  Fe  Fe4  1  0.00000000  0.33025600  0.25200300  1
  Fe  Fe5  1  0.33025600  0.00000000  0.25200300  1
  N  N6  1  0.66666700  0.33333300  0.50000000  1
  N  N7  1  0.33333300  0.66666700  0.50000000  1
  N  N8  1  0.00000000  0.00000000  0.00000000  1
"
mp_20,train,mp-1804,"# generated using pymatgen
data_Fe3N
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.65876985
_cell_length_b   4.65876985
_cell_length_c   4.32222400
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99999790
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe3N
_chemical_formula_sum   'Fe6 N2'
_cell_volume   81.24196595
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.67317900  0.67317900  0.00000000  1
  Fe  Fe1  1  0.00000000  0.67317900  0.50000000  1
  Fe  Fe2  1  0.67317900  0.00000000  0.50000000  1
  Fe  Fe3  1  0.32682100  0.32682100  0.50000000  1
  Fe  Fe4  1  0.00000000  0.32682100  0.00000000  1
  Fe  Fe5  1  0.32682100  0.00000000  0.00000000  1
  N  N6  1  0.66666700  0.33333300  0.25000000  1
  N  N7  1  0.33333300  0.66666700  0.75000000  1
"
mp_20,train,mp-4593,"# generated using pymatgen
data_Mn3AlC
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.80660100
_cell_length_b   3.80660100
_cell_length_c   3.80660100
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn3AlC
_chemical_formula_sum   'Mn3 Al1 C1'
_cell_volume   55.15845234
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.00000000  0.50000000  0.50000000  1
  Mn  Mn1  1  0.50000000  0.50000000  0.00000000  1
  Mn  Mn2  1  0.50000000  0.00000000  0.50000000  1
  Al  Al3  1  0.00000000  0.00000000  0.00000000  1
  C  C4  1  0.50000000  0.50000000  0.50000000  1
"
mp_20,train,mp-535,"# generated using pymatgen
data_Fe4N
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.67367300
_cell_length_b   3.67367300
_cell_length_c   3.67367300
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe4N
_chemical_formula_sum   'Fe4 N1'
_cell_volume   49.57942539
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.00000000  0.50000000  0.50000000  1
  Fe  Fe1  1  0.50000000  0.50000000  0.00000000  1
  Fe  Fe2  1  0.50000000  0.00000000  0.50000000  1
  Fe  Fe3  1  0.00000000  0.00000000  0.00000000  1
  N  N4  1  0.50000000  0.50000000  0.50000000  1
"
mp_20,val,mp-567703,"# generated using pymatgen
data_Fe3NiN
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.77404400
_cell_length_b   3.77404400
_cell_length_c   3.77404400
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe3NiN
_chemical_formula_sum   'Fe3 Ni1 N1'
_cell_volume   53.75524893
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.00000000  0.50000000  0.50000000  1
  Fe  Fe1  1  0.50000000  0.00000000  0.50000000  1
  Fe  Fe2  1  0.50000000  0.50000000  0.00000000  1
  Ni  Ni3  1  0.00000000  0.00000000  0.00000000  1
  N  N4  1  0.50000000  0.50000000  0.50000000  1
"
mp_20,test,mp-555,"# generated using pymatgen
data_Fe8N
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.09220402
_cell_length_b   5.09220402
_cell_length_c   5.09220402
_cell_angle_alpha   111.98312515
_cell_angle_beta   111.98312515
_cell_angle_gamma   104.55640611
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe8N
_chemical_formula_sum   'Fe8 N1'
_cell_volume   101.09266164
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.25000000  0.75000000  0.50000000  1
  Fe  Fe1  1  0.29423200  0.29423200  0.00000000  1
  Fe  Fe2  1  0.70576800  0.70576800  0.00000000  1
  Fe  Fe3  1  0.24281400  0.24281400  0.48562900  1
  Fe  Fe4  1  0.24281400  0.75718600  0.00000000  1
  Fe  Fe5  1  0.75718600  0.24281400  0.00000000  1
  Fe  Fe6  1  0.75718600  0.75718600  0.51437100  1
  Fe  Fe7  1  0.75000000  0.25000000  0.50000000  1
  N  N8  1  0.00000000  0.00000000  0.00000000  1
"
