record_id,split,seq_id,formula,recorded_temperature_k,natoms,spacegroup_number,priority_reasons,magndata_url,selection_group
0.782_NdScO3,test,547,NdScO3,953.0,20,62,literature_unit_conflict_953_vs_0.953;recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.782,targeted_diagnostic
0.639_Mn2Au,train,468,Mn2Au,1000.0,3,139,known_afm_temperature_semantics;recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.639,targeted_diagnostic
0.108_Mn3Ir,train,59,Mn3Ir,960.0,4,221,known_afm_temperature_semantics;recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.108,targeted_diagnostic
0.186_CeMnAsO,train,143,CeMnAsO,347.0,8,129,recorded_temperature_ge300;identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.186,targeted_diagnostic
0.187_CeMnAsO,train,144,CeMnAsO,35.0,8,129,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.187,targeted_diagnostic
0.188_CeMnAsO,train,145,CeMnAsO,7.0,8,129,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.188,targeted_diagnostic
0.426_EuMnBi2,train,332,EuMnBi2,315.0,8,139,recorded_temperature_ge300;identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.426,targeted_diagnostic
2.51_EuMnBi2,train,335,EuMnBi2,19.0,8,139,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=2.51,targeted_diagnostic
0.65_Fe2O3-alpha,test,233,Fe2O3,955.0,10,167,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.65,targeted_diagnostic
0.274_Mn4N,train,210,Mn4N,745.0,5,221,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.274,targeted_diagnostic
1.495_YMn2Si2,train,1006,Y(MnSi)2,460.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.495,seeded_high_temperature
1.689_LuMn2Ge2,train,1138,Lu(MnGe)2,508.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.689,seeded_high_temperature
1.253_CeCo2P2,train,847,Ce(CoP)2,440.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.253,seeded_high_temperature
0.1024_BaFe2Se4,test,17,Ba(FeSe2)2,310.0,7,87,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.1024,seeded_high_temperature
1.281_YBaCuFeO5,train,870,BaYFeCuO5,446.0,9,99,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.281,seeded_high_temperature
0.836_DyFeO3,train,64,DyFeO3,650.0,20,62,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.836,seeded_high_temperature
0.619_LaMnAsO,test,456,LaMnAsO,317.0,8,129,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.619,seeded_high_temperature
0.802_CuFeS2,train,565,FeCuS2,823.0,8,122,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.802,seeded_high_temperature
0.279_Mn3As,train,213,Mn3As,420.0,8,194,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.279,seeded_high_temperature
1.420_YBa2Cu3O6,train,971,Ba2Y(CuO2)3,420.0,12,123,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=1.420,seeded_high_temperature
0.617_KMnSb,test,454,KMnSb,295.0,6,129,,https://www.cryst.ehu.es/magndata/index.php?this_label=0.617,seeded_other_temperature_control
1.292_HoNi2B2C,train,878,HoNi2B2C,2.0,6,139,,https://www.cryst.ehu.es/magndata/index.php?this_label=1.292,seeded_other_temperature_control
0.909_Er2PtGe6,val,617,Er2Ge6Pt,9.0,36,64,,https://www.cryst.ehu.es/magndata/index.php?this_label=0.909,seeded_other_temperature_control
0.36_NiF2,val,296,NiF2,73.0,6,136,,https://www.cryst.ehu.es/magndata/index.php?this_label=0.36,seeded_other_temperature_control
0.327_CsMnF4,val,268,CsMnF4,9.0,24,129,,https://www.cryst.ehu.es/magndata/index.php?this_label=0.327,seeded_other_temperature_control
2.11_TbMg,train,1256,TbMg,81.0,2,221,,https://www.cryst.ehu.es/magndata/index.php?this_label=2.11,seeded_other_temperature_control
1.314_NaFeSi2O6,train,751,NaFe(SiO3)2,8.0,20,15,,https://www.cryst.ehu.es/magndata/index.php?this_label=1.314,seeded_other_temperature_control
1.0.59_Na2MnTeO6,val,693,Na2MnTeO6,5.0,20,163,,https://www.cryst.ehu.es/magndata/index.php?this_label=1.0.59,seeded_other_temperature_control
1.775_CaCu3Ti4O12,train,1200,CaTi4(CuO4)3,27.0,20,204,,https://www.cryst.ehu.es/magndata/index.php?this_label=1.775,seeded_other_temperature_control
1.68_NaNdFeWO6,train,1139,NaNdFeWO6,25.0,20,4,,https://www.cryst.ehu.es/magndata/index.php?this_label=1.68,seeded_other_temperature_control
