record_id,split,seq_id,formula,recorded_temperature_k,natoms,spacegroup_number,priority_reasons,magndata_url
0.1000_Fe4O5,train,1,Fe4O5,150.0,18,63,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.1000
0.1024_BaFe2Se4,test,17,Ba(FeSe2)2,310.0,7,87,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.1024
0.1058_PrBaMn2O6,train,36,BaPrMn2O6,309.0,10,123,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.1058
0.1065_MnGeN2,test,42,MnGeN2,448.0,16,33,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.1065
0.1066_MnSiN2,train,43,MnSiN2,453.0,16,33,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.1066
0.1067_MnSiN2,train,44,MnSiN2,433.0,16,33,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.1067
0.1080_Ca2Fe2O5,train,53,Ca2Fe2O5,720.0,36,62,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.1080
0.1085_PrFeO3,train,56,PrFeO3,640.0,20,62,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.1085
0.108_Mn3Ir,train,59,Mn3Ir,960.0,4,221,known_afm_temperature_semantics;recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.108
0.109_Mn3Pt,train,61,Mn3Pt,365.0,4,221,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.109
0.112_FeBO3,train,72,FeBO3,348.0,10,167,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.112
0.160_TbCoO3,train,121,TbCoO3,1.0,20,62,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.160
0.186_CeMnAsO,train,143,CeMnAsO,347.0,8,129,recorded_temperature_ge300;identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.186
0.187_CeMnAsO,train,144,CeMnAsO,35.0,8,129,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.187
0.188_CeMnAsO,train,145,CeMnAsO,7.0,8,129,identical_cif_multiple_temperatures,https://www.cryst.ehu.es/magndata/index.php?this_label=0.188
0.18_BaMn2As2,train,146,Ba(MnAs)2,625.0,5,139,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.18
0.199_Mn3Sn,val,153,Mn3Sn,420.0,8,194,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.199
0.209_TlFe1.6Se2,train,159,Tl5(Fe4Se5)2,500.0,23,87,recorded_temperature_ge300,https://www.cryst.ehu.es/magndata/index.php?this_label=0.209
