spacegroup_number,natoms,records,formulas,recorded_ge500,within_24atom_budget,family_verified,verified_curie_pairs
62,20,78,50,8,True,False,0
139,5,69,52,6,True,False,0
129,6,31,29,2,True,False,0
225,2,21,15,2,True,False,0
33,40,3,2,2,False,False,0
14,20,54,41,1,True,False,0
62,36,14,10,1,False,False,0
139,9,13,10,1,True,False,0
221,5,12,10,1,True,False,0
167,10,9,8,1,True,False,0
191,13,9,6,1,True,False,0
221,4,7,5,1,True,False,0
46,18,4,4,1,True,False,0
62,16,4,3,1,True,False,0
194,4,3,3,1,True,False,0
61,64,2,2,1,False,False,0
87,23,2,1,1,True,False,0
139,3,2,2,1,True,False,0
71,39,1,1,1,False,False,0
122,8,1,1,1,True,False,0
162,9,1,1,1,True,False,0
62,28,28,19,0,False,False,0
129,8,25,16,0,True,False,0
227,22,22,18,0,True,False,0
164,5,19,16,0,True,False,0
227,14,16,12,0,True,False,0
63,8,14,13,0,True,False,0
185,30,14,6,0,False,False,0
127,10,13,9,0,True,False,0
15,20,12,9,0,True,False,0
139,6,12,10,0,True,False,0
139,7,12,7,0,True,False,0
189,9,12,11,0,True,False,0
55,32,11,8,0,False,False,0
194,10,11,9,0,True,False,0
33,36,10,10,0,False,False,0
55,22,10,7,0,True,False,0
123,7,10,9,0,True,False,0
165,30,10,5,0,False,False,0
167,22,10,10,0,True,False,0
62,8,9,9,0,True,False,0
63,4,9,8,0,True,False,0
136,18,9,8,0,True,False,0
148,10,9,9,0,True,False,0
204,20,9,8,0,True,False,0
221,2,9,8,0,True,False,0
62,12,8,8,0,True,False,0
62,24,8,7,0,True,False,0
64,36,8,7,0,False,False,0
12,10,7,6,0,True,False,0
12,12,7,6,0,True,False,0
139,8,7,4,0,True,False,0
194,6,7,5,0,True,False,0
230,80,7,7,0,False,False,0
14,26,6,6,0,False,False,0
14,44,6,6,0,False,False,0
62,32,6,6,0,False,False,0
65,5,6,5,0,True,False,0
71,9,6,5,0,True,False,0
87,10,6,5,0,True,False,0
123,11,6,6,0,True,False,0
140,6,6,3,0,True,False,0
164,3,6,6,0,True,False,0
186,6,6,6,0,True,False,0
193,16,6,3,0,True,False,0
194,38,6,5,0,False,False,0
15,16,5,5,0,True,False,0
60,36,5,5,0,False,False,0
63,12,5,5,0,True,False,0
123,9,5,4,0,True,False,0
141,14,5,5,0,True,False,0
152,60,5,4,0,False,False,0
166,20,5,5,0,True,False,0
194,30,5,5,0,False,False,0
227,6,5,4,0,True,False,0
12,8,4,3,0,True,False,0
13,12,4,3,0,True,False,0
14,8,4,1,0,True,False,0
14,24,4,4,0,True,False,0
14,32,4,4,0,False,False,0
14,40,4,3,0,False,False,0
29,96,4,4,0,False,False,0
36,24,4,2,0,True,False,0
55,20,4,2,0,True,False,0
59,12,4,4,0,True,False,0
63,14,4,3,0,True,False,0
88,12,4,4,0,True,False,0
110,52,4,4,0,False,False,0
127,20,4,4,0,True,False,0
136,6,4,4,0,True,False,0
164,15,4,4,0,True,False,0
166,3,4,4,0,True,False,0
166,4,4,3,0,True,False,0
194,8,4,4,0,True,False,0
205,12,4,4,0,True,False,0
216,3,4,3,0,True,False,0
216,6,4,4,0,True,False,0
225,10,4,4,0,True,False,0
2,20,3,3,0,True,False,0
12,7,3,2,0,True,False,0
12,9,3,2,0,True,False,0
12,11,3,3,0,True,False,0
14,28,3,1,0,False,False,0
14,36,3,3,0,False,False,0
15,30,3,3,0,False,False,0
31,16,3,3,0,True,False,0
33,16,3,2,0,True,False,0
61,80,3,3,0,False,False,0
62,52,3,2,0,False,False,0
63,18,3,2,0,True,False,0
63,26,3,2,0,False,False,0
64,14,3,3,0,True,False,0
65,6,3,3,0,True,False,0
72,20,3,2,0,True,False,0
107,5,3,3,0,True,False,0
113,24,3,3,0,True,False,0
125,38,3,3,0,False,False,0
130,28,3,1,0,False,False,0
141,12,3,3,0,True,False,0
142,28,3,2,0,False,False,0
148,8,3,3,0,True,False,0
148,13,3,3,0,True,False,0
155,20,3,3,0,True,False,0
166,7,3,3,0,True,False,0
167,64,3,2,0,False,False,0
182,20,3,2,0,True,False,0
191,12,3,3,0,True,False,0
198,20,3,3,0,True,False,0
206,40,3,3,0,False,False,0
220,14,3,3,0,True,False,0
225,29,3,2,0,False,False,0
2,13,2,2,0,True,False,0
11,8,2,2,0,True,False,0
11,24,2,2,0,True,False,0
11,26,2,1,0,False,False,0
12,4,2,2,0,True,False,0
12,6,2,2,0,True,False,0
12,17,2,1,0,True,False,0
14,18,2,2,0,True,False,0
14,50,2,2,0,False,False,0
14,56,2,2,0,False,False,0
15,8,2,2,0,True,False,0
15,14,2,2,0,True,False,0
15,28,2,2,0,False,False,0
15,84,2,2,0,False,False,0
20,22,2,1,0,True,False,0
33,52,2,2,0,False,False,0
55,36,2,1,0,False,False,0
56,88,2,1,0,False,False,0
58,14,2,2,0,True,False,0
58,22,2,1,0,True,False,0
59,6,2,2,0,True,False,0
59,8,2,2,0,True,False,0
59,30,2,2,0,False,False,0
59,40,2,1,0,False,False,0
62,56,2,1,0,False,False,0
63,10,2,2,0,True,False,0
63,28,2,2,0,False,False,0
65,10,2,2,0,True,False,0
65,12,2,2,0,True,False,0
74,6,2,2,0,True,False,0
74,22,2,2,0,True,False,0
86,40,2,2,0,False,False,0
92,44,2,2,0,False,False,0
123,3,2,1,0,True,False,0
123,8,2,2,0,True,False,0
123,10,2,2,0,True,False,0
138,28,2,2,0,False,False,0
139,13,2,2,0,True,False,0
140,18,2,2,0,True,False,0
147,12,2,2,0,True,False,0
148,14,2,2,0,True,False,0
163,20,2,2,0,True,False,0
166,5,2,2,0,True,False,0
167,8,2,2,0,True,False,0
176,38,2,1,0,False,False,0
191,6,2,2,0,True,False,0
194,44,2,2,0,False,False,0
203,52,2,1,0,False,False,0
2,7,1,1,0,True,False,0
2,16,1,1,0,True,False,0
2,24,1,1,0,True,False,0
2,32,1,1,0,False,False,0
2,50,1,1,0,False,False,0
4,20,1,1,0,True,False,0
4,22,1,1,0,True,False,0
4,26,1,1,0,False,False,0
4,36,1,1,0,False,False,0
5,12,1,1,0,True,False,0
6,14,1,1,0,True,False,0
7,16,1,1,0,True,False,0
7,36,1,1,0,False,False,0
9,30,1,1,0,False,False,0
11,30,1,1,0,False,False,0
12,5,1,1,0,True,False,0
12,13,1,1,0,True,False,0
12,16,1,1,0,True,False,0
12,22,1,1,0,True,False,0
12,23,1,1,0,True,False,0
12,33,1,1,0,False,False,0
12,56,1,1,0,False,False,0
13,40,1,1,0,False,False,0
14,6,1,1,0,True,False,0
14,12,1,1,0,True,False,0
14,34,1,1,0,False,False,0
14,42,1,1,0,False,False,0
14,52,1,1,0,False,False,0
14,72,1,1,0,False,False,0
14,80,1,1,0,False,False,0
14,100,1,1,0,False,False,0
15,4,1,1,0,True,False,0
15,10,1,1,0,True,False,0
15,12,1,1,0,True,False,0
15,24,1,1,0,True,False,0
15,26,1,1,0,False,False,0
15,46,1,1,0,False,False,0
15,48,1,1,0,False,False,0
15,52,1,1,0,False,False,0
15,60,1,1,0,False,False,0
15,68,1,1,0,False,False,0
15,80,1,1,0,False,False,0
19,28,1,1,0,False,False,0
19,36,1,1,0,False,False,0
20,20,1,1,0,True,False,0
26,20,1,1,0,True,False,0
26,40,1,1,0,False,False,0
29,64,1,1,0,False,False,0
33,32,1,1,0,False,False,0
33,96,1,1,0,False,False,0
36,12,1,1,0,True,False,0
36,28,1,1,0,False,False,0
40,22,1,1,0,True,False,0
43,16,1,1,0,True,False,0
43,22,1,1,0,True,False,0
51,12,1,1,0,True,False,0
55,12,1,1,0,True,False,0
55,44,1,1,0,False,False,0
57,28,1,1,0,False,False,0
58,80,1,1,0,False,False,0
59,4,1,1,0,True,False,0
59,24,1,1,0,True,False,0
60,32,1,1,0,False,False,0
60,60,1,1,0,False,False,0
61,28,1,1,0,False,False,0
61,96,1,1,0,False,False,0
62,40,1,1,0,False,False,0
62,60,1,1,0,False,False,0
62,64,1,1,0,False,False,0
62,80,1,1,0,False,False,0
62,84,1,1,0,False,False,0
62,88,1,1,0,False,False,0
63,16,1,1,0,True,False,0
63,22,1,1,0,True,False,0
64,10,1,1,0,True,False,0
64,34,1,1,0,False,False,0
65,7,1,1,0,True,False,0
66,16,1,1,0,True,False,0
71,5,1,1,0,True,False,0
71,7,1,1,0,True,False,0
71,11,1,1,0,True,False,0
74,12,1,1,0,True,False,0
74,26,1,1,0,False,False,0
87,7,1,1,0,True,False,0
87,16,1,1,0,True,False,0
88,52,1,1,0,False,False,0
90,54,1,1,0,False,False,0
92,36,1,1,0,False,False,0
99,5,1,1,0,True,False,0
99,9,1,1,0,True,False,0
108,16,1,1,0,True,False,0
109,6,1,1,0,True,False,0
113,28,1,1,0,False,False,0
114,56,1,1,0,False,False,0
119,13,1,1,0,True,False,0
119,14,1,1,0,True,False,0
120,60,1,1,0,False,False,0
121,8,1,1,0,True,False,0
121,29,1,1,0,False,False,0
122,42,1,1,0,False,False,0
123,4,1,1,0,True,False,0
123,6,1,1,0,True,False,0
123,12,1,1,0,True,False,0
127,18,1,1,0,True,False,0
129,10,1,1,0,True,False,0
129,14,1,1,0,True,False,0
129,18,1,1,0,True,False,0
129,24,1,1,0,True,False,0
129,34,1,1,0,False,False,0
135,36,1,1,0,False,False,0
136,14,1,1,0,True,False,0
136,48,1,1,0,False,False,0
140,10,1,1,0,True,False,0
140,40,1,1,0,False,False,0
142,52,1,1,0,False,False,0
144,36,1,1,0,False,False,0
146,10,1,1,0,True,False,0
148,36,1,1,0,False,False,0
148,40,1,1,0,False,False,0
148,48,1,1,0,False,False,0
150,27,1,1,0,False,False,0
151,24,1,1,0,True,False,0
155,4,1,1,0,True,False,0
160,4,1,1,0,True,False,0
160,18,1,1,0,True,False,0
161,10,1,1,0,True,False,0
161,46,1,1,0,False,False,0
163,22,1,1,0,True,False,0
164,4,1,1,0,True,False,0
164,29,1,1,0,False,False,0
166,8,1,1,0,True,False,0
166,10,1,1,0,True,False,0
166,16,1,1,0,True,False,0
166,22,1,1,0,True,False,0
166,25,1,1,0,False,False,0
167,20,1,1,0,True,False,0
167,40,1,1,0,False,False,0
173,42,1,1,0,False,False,0
176,24,1,1,0,True,False,0
176,60,1,1,0,False,False,0
186,8,1,1,0,True,False,0
186,26,1,1,0,False,False,0
189,18,1,1,0,True,False,0
191,3,1,1,0,True,False,0
194,12,1,1,0,True,False,0
194,26,1,1,0,False,False,0
194,48,1,1,0,False,False,0
198,56,1,1,0,False,False,0
198,76,1,1,0,False,False,0
201,40,1,1,0,False,False,0
216,13,1,1,0,True,False,0
216,14,1,1,0,True,False,0
217,29,1,1,0,False,False,0
221,7,1,1,0,True,False,0
225,3,1,1,0,True,False,0
225,4,1,1,0,True,False,0
