material_id,formula,tc_k,tc_uncertainty_k,source_id,prototype,experimental_a_angstrom,notes,source_group,doi,split,spacegroup,natoms,structure_path,structure_sha256,structure_scope,cell_scale_source,local_mp_id,local_mp_split,local_mp_band_gap_ev,experimental_band_gap_ev,electrical_class,comparison_scope,full_occupancy_reference,pretraining_unseen_claim,minimum_distance_angstrom,structure_reference_doi
YFe2,YFe2,541,,laves_2008,C15,,,Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/YFe2.cif,c73797c016499b08c1e65f9f22c206f011145d209ab2e12f3c3e02fccbb4b2ea,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-1570,train,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.578062534999999,
GdFe2,GdFe2,793,,laves_2008,C15,,,Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/GdFe2.cif,6bea329a6b4f2e6f9c6f17b0e6f85a19cecc052826cafcdb3edb946d49cb1f50,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-20089,train,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.5886917649999983,
GdCo2,GdCo2,400,,laves_2008,C15,,"GdCo2 theoretical equilibrium a=13.6988 Bohr reported on PDF p6 of DOI 10.1016/j.jallcom.2022.166116; separate source, not measured lattice of 2008 sample. No MP20 gap label.",Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/GdCo2.cif,be7bc563eaf53f8fff67d122dfc095c037edee2cd1d7cf6ab2b0c4430c1b3b47,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",external_DFT_reference,,,,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.5629413299338637,10.1016/j.jallcom.2022.166116
GdAl2,GdAl2,164,,laves_2008,C15,,,Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/GdAl2.cif,f48afae36e68e63b74dfa7e732fb56fbc5cd52243d159ce63532234cabf7ad1a,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-19923,val,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.7980858799999995,
TbFe2,TbFe2,653,,laves_2008,C15,,,Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/TbFe2.cif,f9d46cb506d8c233a3071db57fa8216b3a8a89608f5c9ef1c110748163114488,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-589,train,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.5810995549999998,
TbCo2,TbCo2,235,,laves_2008,C15,,,Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/TbCo2.cif,af13db7654f3898cbefe0bb3deb1de76390aede0c55d9c908e2e24dd558436ca,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-2265,train,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.5405483999999983,
TbAl2,TbAl2,109,,laves_2008,C15,,,Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/TbAl2.cif,17edeb54b114d90e059abc171e75c06dec2d12aeea6bbd831dca9a615d7cfb0a,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-756,train,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.7899414249999994,
DyFe2,DyFe2,628,,laves_2008,C15,,,Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/DyFe2.cif,3aee6c21d32b4c40f0b5596476c8095f3df48d34266327dbced5536eaece156e,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-1757,train,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.5683673949999988,
DyCo2,DyCo2,150,,laves_2008,C15,,,Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/DyCo2.cif,d6bc3484637c73ccb6c83f9010e9fb507787a6de9e03907b606d6d85b9c115ec,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-2628,train,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.5338726049999987,
DyAl2,DyAl2,58,,laves_2008,C15,,,Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/DyAl2.cif,f0194704a16161e0ddbe2dc619419800e389d0af455c7ab1c4e1f201f80121a7,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-803,train,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.7810601649999978,
HoFe2,HoFe2,606,,laves_2008,C15,,,Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/HoFe2.cif,281e6fd70d68d9849a184aa2d04d50f4d70a3bafda7ba2b43221ff300f1b6c00,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-1926,train,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.558931759999999,
HoCo2,HoCo2,78,,laves_2008,C15,,,Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/HoCo2.cif,5f4dd99fbc3326da9794eb96ac57a2d41df0c89f7c02c38dece477e7ecc00e3a,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-2396,train,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.53241384,
HoAl2,HoAl2,28,,laves_2008,C15,,,Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/HoAl2.cif,d8efdb1c2dfa4454f411068f93fbcd06a1581ccea6950e0e2737e0f524286a43,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-391,val,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.773071269999998,
ErFe2,ErFe2,582,,laves_2008,C15,,,Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/ErFe2.cif,b1e83f9080d7ca9dcc2b232ed2eb7aa3dcef3d399e12d297e834c2f7357b54ae,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-474,train,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.551569364999999,
ErCo2,ErCo2,32,,laves_2008,C15,,,Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/ErCo2.cif,8dbd3b357a931b42d91620e21f81735abb5fe8140a930bf3eb14e87e5104b9a3,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-537,val,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.5184039349999994,
ErAl2,ErAl2,13,,laves_2008,C15,,,Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/ErAl2.cif,b600a9513cbf155886d1fc6fb410886d2cdbfcf1c24a40b5e98e49b9388e02dc,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-1208,val,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.765479064999999,
LuFe2,LuFe2,582,,laves_2008,C15,,,Zaragoza_Laguna_Chaboy,10.1103/PhysRevB.77.125132,train,227,6,data/pilot30_v1/structures/LuFe2.cif,9741f7805bcff62b39208b3c949cf606c935efcbb31ed15546e14f862691a78f,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-2463,train,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.526563944999998,
SmAl2,SmAl2,64,,ral2_2009,C15,7.942,,Zaragoza_Laguna_Chaboy,10.1107/S0909049509009807,train,227,6,data/pilot30_v1/structures/SmAl2.cif,2810f92bafdecb370567715e8f3015991b3292f9d1dc9104c1fec52c64fc5d18,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",same_paper_experimental,mp-2358,train,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.8079210280917803,
PrAl2,PrAl2,32.5,,prnd_2005,C15,,,UNICAMP_Carvalho_Campoy,10.1063/1.1876575,validation,227,6,data/pilot30_v1/structures/PrAl2.cif,a1a7644053f5ce1c0a72fd0bbdece65e005c9e0a251d84d06db6b154060ad38f,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-1189,val,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.8603438049999985,
NdAl2,NdAl2,77,,prnd_2005,C15,,,UNICAMP_Carvalho_Campoy,10.1063/1.1876575,validation,227,6,data/pilot30_v1/structures/NdAl2.cif,cfdd46a49cb5c37d0b6bbf1cac2f5f5f2ea8c71ab7ee1fa187326009b84daa32,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",MP20_DFT_reference,mp-400,test,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.8440117599999986,
Co2FeSi,Co2FeSi,1100,20,co2fesi_2005,L21,5.64,Below 10% B2 disorder not excluded; sensitivity exclusion required.,Mainz_Felser,10.1103/PhysRevB.73.094422,train,225,4,data/pilot30_v1/structures/Co2FeSi.cif,9a5ad25690e816809aaa390d3c6966f952bf99c82a7588aef1c280f3d7552d06,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",same_paper_experimental,mp-5436,train,0.0,,not_directly_measured_in_Tc_excerpt,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.442191638672116,
Co2TiSi,Co2TiSi,380,,co2ti_2009,L21,5.733,Alternative transport-peak Tc differs; retain magnetometry event.,Mainz_Felser,arXiv:0907.3562,train,225,4,data/pilot30_v1/structures/Co2TiSi.cif,af6b96713453656fe48224d3ab609f8d13191481594147985e959834066ef9ec,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",same_paper_experimental,mp-3657,train,0.0,,metallic_transport,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.482461819948093,
Co2TiGe,Co2TiGe,380,,co2ti_2009,L21,5.819,Alternative transport-peak Tc differs; retain magnetometry event.,Mainz_Felser,arXiv:0907.3562,train,225,4,data/pilot30_v1/structures/Co2TiGe.cif,6c6c45a1a634e078e7ebbdc84aff5d655caee642e932e4880d2166d9e2dc7b8e,"Ordered parent-prototype reference, not sample-exact refinement or magnetic CIF",same_paper_experimental,mp-4612,train,0.0,,metallic_transport,Composition and ordered prototype preference; not isolated geometry effect,True,False,2.5197009123108236,
