pair_id,winner,loser,split,source_groups,source_ids,prototype,delta_tc_k,sensitivity_gap_k,margin_k,unreported_uncertainty_buffer_k,buffer_is_not_measurement_uncertainty,high_tc_anchor,independent_experiment,causal_structure_claim
DyFe2__over__DyAl2,DyFe2,DyAl2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,570,520,50,25,True,True,False,False
ErFe2__over__DyCo2,ErFe2,DyCo2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,432,382,50,25,True,True,False,False
GdFe2__over__ErAl2,GdFe2,ErAl2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,780,730,50,25,True,True,False,False
HoFe2__over__ErCo2,HoFe2,ErCo2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,574,524,50,25,True,True,False,False
LuFe2__over__GdAl2,LuFe2,GdAl2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,418,368,50,25,True,True,False,False
TbFe2__over__GdCo2,TbFe2,GdCo2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,253,203,50,25,True,True,False,False
YFe2__over__HoAl2,YFe2,HoAl2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,513,463,50,25,True,True,False,False
DyFe2__over__HoCo2,DyFe2,HoCo2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,550,500,50,25,True,True,False,False
ErFe2__over__SmAl2,ErFe2,SmAl2,train,['Zaragoza_Laguna_Chaboy'],"['laves_2008', 'ral2_2009']",C15,518,468,50,25,True,True,False,False
GdFe2__over__TbAl2,GdFe2,TbAl2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,684,634,50,25,True,True,False,False
HoFe2__over__TbCo2,HoFe2,TbCo2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,371,321,50,25,True,True,False,False
LuFe2__over__DyAl2,LuFe2,DyAl2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,524,474,50,25,True,True,False,False
TbFe2__over__DyCo2,TbFe2,DyCo2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,503,453,50,25,True,True,False,False
YFe2__over__ErAl2,YFe2,ErAl2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,528,478,50,25,True,True,False,False
DyFe2__over__ErCo2,DyFe2,ErCo2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,596,546,50,25,True,True,False,False
ErFe2__over__GdAl2,ErFe2,GdAl2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,418,368,50,25,True,True,False,False
GdFe2__over__GdCo2,GdFe2,GdCo2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,393,343,50,25,True,True,False,False
HoFe2__over__HoAl2,HoFe2,HoAl2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,578,528,50,25,True,True,False,False
LuFe2__over__HoCo2,LuFe2,HoCo2,train,['Zaragoza_Laguna_Chaboy'],['laves_2008'],C15,504,454,50,25,True,True,False,False
TbFe2__over__SmAl2,TbFe2,SmAl2,train,['Zaragoza_Laguna_Chaboy'],"['laves_2008', 'ral2_2009']",C15,589,539,50,25,True,True,False,False
