cif_sha256,split,material_id,formula,recorded_tc_k,crosses_300k
9a5ab992dbe3dc0f4133ecaa4eab77761a9f4253c73f34c2d44ca0ef98de0c36,train,0.1000_Fe4O5,Fe4O5,150,True
9a5ab992dbe3dc0f4133ecaa4eab77761a9f4253c73f34c2d44ca0ef98de0c36,train,0.999_Fe4O5,Fe4O5,320,True
00953476fc1e89013ea872aa43c61bec45ef36d72cefc3ee712daa7a2ef4eaae,train,0.160_TbCoO3,TbCoO3,1,False
00953476fc1e89013ea872aa43c61bec45ef36d72cefc3ee712daa7a2ef4eaae,train,0.520_TbCoO3,TbCoO3,3,False
93f6e38d11ace6bbed18878d4365675a057ca3b70283edbf4774b489d6e9699f,train,0.186_CeMnAsO,CeMnAsO,347,True
93f6e38d11ace6bbed18878d4365675a057ca3b70283edbf4774b489d6e9699f,train,0.187_CeMnAsO,CeMnAsO,35,True
93f6e38d11ace6bbed18878d4365675a057ca3b70283edbf4774b489d6e9699f,train,0.188_CeMnAsO,CeMnAsO,7,True
7bb985a75c8318e517be2e323196c797258514585822f4bc83468f0dd00094ca,train,0.218_Co2SiO4,Co2SiO4,5,False
7bb985a75c8318e517be2e323196c797258514585822f4bc83468f0dd00094ca,train,0.219_Co2SiO4,Co2SiO4,49,False
ccf04ca0ca87825c4a5a573dfefccef0586af7ee2a0628acb83c8b93759c4c5b,train,0.288_NdMnO3,NdMnO3,78,False
ccf04ca0ca87825c4a5a573dfefccef0586af7ee2a0628acb83c8b93759c4c5b,train,0.289_NdMnO3,NdMnO3,13,False
c6bcf0efe2e31de4b57dfe47e45d78e88c16eebf1794726ac20ba22a1074a768,train,0.370_NdMnO3,NdMnO3,73,False
c6bcf0efe2e31de4b57dfe47e45d78e88c16eebf1794726ac20ba22a1074a768,train,0.371_NdMnO3,NdMnO3,15,False
b75579f5682fc8a0eabd088ae4b370fd8a7f65eeb87002b68b9a21d11ee96b14,train,0.31_HoMnO3,HoMnO3,72,False
b75579f5682fc8a0eabd088ae4b370fd8a7f65eeb87002b68b9a21d11ee96b14,train,0.32_HoMnO3,HoMnO3,6,False
b75579f5682fc8a0eabd088ae4b370fd8a7f65eeb87002b68b9a21d11ee96b14,train,0.33_HoMnO3,HoMnO3,4,False
1ec66baa69e2ebe355fe493263157bb5d5837b68f1e58a77af2b8f487064fa0a,train,0.423_EuMnSb2,EuMnSb2,346,True
1ec66baa69e2ebe355fe493263157bb5d5837b68f1e58a77af2b8f487064fa0a,train,0.424_EuMnSb2,EuMnSb2,21,True
07187f6785c625c0580649efd336d23e8161d2d0e05f14a4c9f7cfc0ca2ff18c,train,0.426_EuMnBi2,EuMnBi2,315,True
07187f6785c625c0580649efd336d23e8161d2d0e05f14a4c9f7cfc0ca2ff18c,train,2.51_EuMnBi2,EuMnBi2,19,True
9009f3a17e77a4f6405c60f8ccfe31610d1d7bf5fc9b1a07778b70a823ee7346,train,0.49_Ho2Ru2O7,Ho2Ru2O7,95,False
9009f3a17e77a4f6405c60f8ccfe31610d1d7bf5fc9b1a07778b70a823ee7346,train,0.51_Ho2Ru2O7,Ho2Ru2O7,4,False
2f2eae5b74c06b89539deb3684cdba28a2878c30509eabcc6f540e91322e0d6e,train,0.662_Mn3Sn2,Mn3Sn2,262,False
2f2eae5b74c06b89539deb3684cdba28a2878c30509eabcc6f540e91322e0d6e,train,0.663_Mn3Sn2,Mn3Sn2,227,False
a5a79758d9102fd687d23094863ef164688bdcf41678010f695653ded7bf0276,train,0.773_NdMnSi2,NdMnSi2,40,True
a5a79758d9102fd687d23094863ef164688bdcf41678010f695653ded7bf0276,train,0.774_NdMnSi2,NdMnSi2,441,True
e055a7525c76a881d740b03f5f03157586bdfda04891172cee8f7206ec39c0ab,train,0.7_ScMnO3,ScMnO3,129,False
e055a7525c76a881d740b03f5f03157586bdfda04891172cee8f7206ec39c0ab,train,0.8_ScMnO3,ScMnO3,75,False
8239df979f5faca25d3420fed66b1f24b3d861904f9cd7152fa5b4525fc37d29,train,0.904_Nd2PdGe6,Nd2Ge6Pd,4,False
8239df979f5faca25d3420fed66b1f24b3d861904f9cd7152fa5b4525fc37d29,train,0.927_Nd2PdGe6,Nd2Ge6Pd,5,False
a76ca807a6b1f5464a5b6df331c5830d3b7b5511f63a995a9158d406e8b2edf1,train,1.160_UP,UP,122,False
a76ca807a6b1f5464a5b6df331c5830d3b7b5511f63a995a9158d406e8b2edf1,train,2.13_UP,UP,5,False
c7959bc119ed94e77a2c9c66beb545e1d0751c07183fff7e9fa17aa7d97a1410,train,1.263_Ca3Ru2O7,Ca3Ru2O7,56,False
c7959bc119ed94e77a2c9c66beb545e1d0751c07183fff7e9fa17aa7d97a1410,train,1.793_Ca3Ru2O7,Ca3Ru2O7,7,False
c7959bc119ed94e77a2c9c66beb545e1d0751c07183fff7e9fa17aa7d97a1410,train,1.794_Ca3Ru2O7,Ca3Ru2O7,60,False
cb24517573ce64fceefc0676d54a4a9706c92190d8d938377b2349dbf3a1f8fb,train,1.324_DyMn2O5,DyMn2O5,4,False
