candidate_family,records,train_records,curie_candidate_train_records,validated_family,verified_preference_pairs,record_ids
1111_oxypnictide_candidate,4,3,0,False,0,0.186_CeMnAsO;0.187_CeMnAsO;0.188_CeMnAsO;0.619_LaMnAsO
123_cuprate_candidate,1,1,0,False,0,1.420_YBa2Cu3O6
2H_Na2MnTeO6_candidate,1,0,0,False,0,1.0.59_Na2MnTeO6
AAprimeFeWO6_candidate,1,1,0,False,0,1.68_NaNdFeWO6
AMnBi2_candidate,2,2,0,False,0,0.426_EuMnBi2;2.51_EuMnBi2
BaFe2X4_chain_candidate,1,0,0,False,0,0.1024_BaFe2Se4
CsFeF4_layer_candidate,1,0,0,False,0,0.327_CsMnF4
Cu3Au_type_candidate,1,1,0,False,0,0.108_Mn3Ir
ThCr2Si2_candidate,2,2,0,False,0,1.495_YMn2Si2;1.253_CeCo2P2
Yb2PdGe6_candidate,1,0,0,False,0,0.909_Er2PtGe6
antiperovskite_nitride_candidate,1,1,1,False,0,0.274_Mn4N
borocarbide_candidate,1,1,0,False,0,1.292_HoNi2B2C
chalcopyrite_candidate,1,1,0,False,0,0.802_CuFeS2
corundum_candidate,1,0,0,False,0,0.65_Fe2O3-alpha
layered_YBaCuFeO5_candidate,1,1,0,False,0,1.281_YBaCuFeO5
orthoferrite_candidate,1,1,0,False,0,0.836_DyFeO3
pyroxene_candidate,1,1,0,False,0,1.314_NaFeSi2O6
quadruple_perovskite_candidate,1,1,0,False,0,1.775_CaCu3Ti4O12
rutile_candidate,1,0,0,False,0,0.36_NiF2
